"Name","Latitude","Longitude","Address"
"Reconstructionist Rabbinical College",40.0876560698071,-75.1493953629028,"Reconstructionist Rabbinical College, 1299, Church Road, Chelten Hills, Cheltenham Township, Montgomery County, Pennsylvania, 19095, United States"
"Delaware Valley University",40.2943614307512,-75.160163156394,"Delaware Valley University, Campus Loop Road, New Britain, Doylestown Township, Bucks County, Pennsylvania, 18923, United States"
"Penn State Hazleton",40.9847365371588,-76.029134256304,"University Drive, College Crest Colony, Dippel Manor, Sugarloaf Township, Luzerne County, Pennsylvania, 18219, United States"
"Community College of Allegheny County - South Campus",40.3296270854376,-79.9239553622085,"Community College of Allegheny County - South Campus, 1750, College Drive, New England, West Mifflin, Allegheny County, Pennsylvania, 15122, United States"
"Penn State Beaver",40.6789010968605,-80.2964918672842,"Penn State Beaver, Lafayette Drive, Center Township, Beaver County, Pennsylvania, 15061, United States"
"Penn State Great Valley",40.0529246761877,-75.5221852973661,"Penn State Great Valley, Swedesford Road, East Whiteland Township, Chester County, Pennsylvania, 19355, United States"
"Penn State Greater Allegheny",40.3459042442984,-79.826442793293,"Penn State Greater Allegheny, Broadway Avenue, White Oak, Allegheny County, Pennsylvania, 15132, United States"
"Penn State Hershey",40.265266805445,-76.6729771517533,"Penn State Hershey, US 322, Hershey West End, Hershey, Dauphin County, Pennsylvania, 17036, United States"
"Penn State Mont Alto",39.8403069412162,-77.5429211685939,"Penn State Mont Alto, 1, Campus Drive, Mont Alto, Franklin County, Pennsylvania, 17237, United States"
"Penn State New Kensington",40.5484517274175,-79.6964405673799,"Penn State New Kensington, 7th Street Road, Milligantown, Upper Burrell Township, Westmoreland County, Pennsylvania, 15068, United States"
"Penn State Schuylkill",40.6412499156479,-76.1662532813826,"Penn State Schuylkill, PA 61;PA 443, North Manheim Township, Schuylkill County, Pennsylvania, 17972, United States"
"Penn State Shenango",41.2358066751166,-80.5085103431433,"Penn State Shenango, East Silver Street, Sharon, Mercer County, Pennsylvania, 16146, United States"
"Penn State Wilkes-Barre",41.306616628824,-76.014917302476,"Penn State Wilkes-Barre, Nittany Drive, Lehman, Lehman Township, Luzerne County, Pennsylvania, 18612, United States"
"Penn State Scranton",41.4407070415629,-75.6215386420624,"Penn State Scranton, O'Neill Highway, Dunmore, Lackawanna County, Pennsylvania, 18512, United States"
"Neumann University",39.8752740566828,-75.4403863769805,"Neumann University, 1, Neumann Drive, Aston Township, Delaware County, Pennsylvania, 19014, United States"
"Marywood University",41.4347780961754,-75.6322633119748,"Marywood University, I 81;US 6, Dunmore, Lackawanna County, Pennsylvania, 18512, United States"
"Clarion University of Pennsylvania Venango Campus",41.4094986324613,-79.728844163579,"Clarion University of Pennsylvania Venango Campus, 1801, West 1st Street, Oil City, Venango County, Pennsylvania, 16301, United States"
"Penn State Fayette Campus",39.9456331223609,-79.6591937398941,"Penn State Fayette Campus, University Drive, North Union Township, Fayette County, Pennsylvania, 15456, United States"
"University",40.3356106423861,-76.515744400337,"North Ulrich Street, Annville, Lebanon County, Pennsylvania, 17003, United States"
"Temple University",39.9810305838928,-75.1564519722518,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Temple University - Ambler Campus",40.1658104244981,-75.1947690416681,"Temple University - Ambler Campus, Woods Drive, The Woods, Ambler, Montgomery County, Pennsylvania, 19002, United States"
"Temple University - Health Sciences Campus",40.0049806808736,-75.1517890232386,"Temple University - Health Sciences Campus, West Venango Street, Chopersville, Philadelphia, Philadelphia County, Pennsylvania, 19140, United States"
"University",40.0559576385304,-74.9848949343424,"Grant Avenue, Chestnut Wood Village, Philadelphia, Philadelphia County, Pennsylvania, 19114, United States"
"Holy Family University",40.0601847457899,-74.9865176145319,"Holy Family University, Mill Road, Andalusia, Bensalem Township, Bucks County, Pennsylvania, 19154, United States"
"PennWest Edinboro",41.8715173872979,-80.1196048271805,"PennWest Edinboro, 219, Meadville Street, Edinboro, Erie County, Pennsylvania, 16444, United States"
"Holy Family University - Newtown Campus",40.2279430379597,-74.8937133838856,"Holy Family University - Newtown Campus, Campus Drive, Newtown Township, Bucks County, Pennsylvania, 18940, United States"
"Commonwealth University of Pennsylvania - Mansfield",41.8051314676975,-77.0702625131891,"Commonwealth University of Pennsylvania - Mansfield, 31, South Academy Street, Paisley, Mansfield, Tioga County, Pennsylvania, 16933, United States"
"Westminster College",41.1175226628641,-80.3285756861006,"Westminster College, 319, South Market Street, New Wilmington, Lawrence County, Pennsylvania, 16172, United States"
